"","Writer","WCSubmissions","WCAvg","Winner"
"1","@Erin_Havel",0,NA,"false"
"2","abookishbabe",2,14649.5,"false"
"3","alexabexis",13,3846.15384615385,"true"
"4","Alexandris",1,379,"false"
"5","Allioup",3,2065.33333333333,"false"
"6","allireapandsow",15,1763,"true"
"7","AllYellowFlowers",10,530,"false"
"8","amberkell",12,1894.66666666667,"false"
"9","ambrella",2,789.5,"false"
"10","amelia.marshall",1,2067,"false"
"11","AngerAndAgony",6,2157.5,"false"
"12","animalrza",1,25455,"false"
"13","Aralonia",1,1962,"false"
"14","Ashley Daniele",0,NA,"false"
"15","astridsdream",10,1913.5,"false"
"16","authorperson",0,NA,"false"
"17","bexdragon",14,2037.92857142857,"true"
"18","Blushingwriter",15,2667.2,"true"
"19","Boupie",4,2153.25,"false"
"20","Bustella",0,NA,"false"
"21","Cafenuit",15,1933.33333333333,"true"
"22","CairennRhys",1,28433,"false"
"23","Caisidorhpa",0,NA,"false"
"24","CAPav",15,1525,"true"
"25","Carmelon",11,1580.63636363636,"false"
"26","carozy",3,1483.66666666667,"false"
"27","chrisk0",15,2141.86666666667,"true"
"28","ComeOnAndWriteThisNovel",0,NA,"false"
"29","cretsi",11,2416.27272727273,"true"
"30","Crodentia",15,5000,"true"
"31","Darkotter's Kosher Bacon",15,2269.4,"true"
"32","DarylDarko",10,1483.8,"false"
"33","dazart",2,1741.5,"false"
"34","Derek Wallace",1,747,"false"
"35","dgiuliani",14,1788.07142857143,"true"
"36","DinosaurDooDoo",5,730.6,"false"
"37","dkdailey",14,3105.64285714286,"true"
"38","dlindle",10,1723.6,"false"
"39","ebonstorm",15,2678.66666666667,"true"
"40","ElizaWyatt",9,1450.44444444444,"false"
"41","EllenMulholland",15,1769.13333333333,"true"
"42","escabatum_rip3",10,1499.4,"true"
"43","ethibeaux",0,NA,"false"
"44","FaerieRogue",8,6345.75,"true"
"45","fallingleaf",5,1454.8,"false"
"46","FeliciaFredlund",2,461,"false"
"47","fiegellan",1,766,"false"
"48","fireun",2,1475,"false"
"49","Frozen_in_Tyme",1,1862,"false"
"50","fyca",8,1752.625,"true"
"51","G.M. Luna",13,1469.23076923077,"false"
"52","gakernes",3,1620.33333333333,"false"
"53","Grant Faulkner",9,1752.88888888889,"true"
"54","greenphoenixrain",13,1769.30769230769,"true"
"55","grenouille",15,1585.53333333333,"true"
"56","hbt003",5,1988,"false"
"57","honeywell",11,1587.36363636364,"true"
"58","hsparks",11,1277.81818181818,"true"
"59","Hype",15,1822.66666666667,"true"
"60","ilonaho",9,3157,"true"
"61","imtrisprior",2,2347,"false"
"62","irlangel",12,2144.91666666667,"true"
"63","Ixy-Pixy",12,4185.33333333333,"true"
"64","J_Hill",1,2229,"false"
"65","Jamesalicious",5,1106.8,"false"
"66","JaxFost",15,1467.73333333333,"false"
"67","jelliott93",11,1549.54545454545,"false"
"68","Jen Gambale",14,1426,"true"
"69","jenniferkate",5,1409.8,"false"
"70","Jessbear84",13,1814,"true"
"71","jjfid",3,2490.66666666667,"false"
"72","jodimt",11,1845,"true"
"73","Jonah ER Loeb",12,2367.75,"true"
"74","jonbritton",0,NA,"false"
"75","Judydawn",11,1382.90909090909,"false"
"76","juliawester",1,654,"false"
"77","JWhiteFang",2,1769,"false"
"78","K. R. Smith",1,296,"false"
"79","kalekim",0,NA,"false"
"80","KDSUNFLOWERS",3,157.333333333333,"false"
"81","Kelvarus",12,1250.16666666667,"false"
"82","khmore",12,1959.5,"false"
"83","kicksandgiggles",15,1674.66666666667,"true"
"84","KinoFou",0,NA,"false"
"85","kittypan",15,2335.26666666667,"true"
"86","KlaraKim",15,2840.53333333333,"true"
"87","KnottedCord21",9,1858.33333333333,"false"
"88","kp17",3,6037.66666666667,"false"
"89","kristenrudd",15,1885.13333333333,"true"
"90","krkausen",12,2729.33333333333,"true"
"91","laceywilson",1,761,"false"
"92","Laconic Lad",0,NA,"false"
"93","LadyJustice",3,1901,"false"
"94","lassen86",13,1599.84615384615,"false"
"95","lavenderblue",12,2168.41666666667,"true"
"96","lenichi",14,660,"false"
"97","LetterpressLibrarian",15,2875.06666666667,"true"
"98","Liberate",9,207.777777777778,"false"
"99","lil bone",2,2078,"false"
"100","liteindigold",11,1430.72727272727,"false"
"101","lokelani86",10,2512.6,"true"
"102","Lunar Daddy",12,1542.91666666667,"false"
"103","lunespark",12,1833.83333333333,"true"
"104","lynxzpanther",13,1316,"false"
"105","MamaHen40",15,1888.73333333333,"true"
"106","Mancha",15,1186.4,"false"
"107","MDBrannan",12,1812.41666666667,"false"
"108","melissacroce",2,2227.5,"false"
"109","MermaidMaddie",13,2084.84615384615,"true"
"110","Miss Apple",2,250,"false"
"111","MKent1",15,3839.13333333333,"true"
"112","morvegan",2,2500,"false"
"113","motherless child",11,2275.54545454545,"true"
"114","MrLasers",4,481.5,"false"
"115","MsHannaBSmith",1,1614,"false"
"116","MusicalMe",8,1816,"false"
"117","mwalker",15,2568.46666666667,"true"
"118","naseem.sage",7,1036.57142857143,"false"
"119","nelle81",1,502,"false"
"120","nemodos",13,3405.69230769231,"true"
"121","New Apollo",2,1751.5,"false"
"122","nicole1967",5,1922.8,"false"
"123","NLettis",0,NA,"false"
"124","NW_Rose",9,1113.33333333333,"false"
"125","Nytshaed",15,1327.8,"true"
"126","otakubookworm123",13,1551.38461538462,"true"
"127","pbtoejam05",3,410.333333333333,"false"
"128","poise",15,1987,"true"
"129","QuinnWhittaker",0,NA,"false"
"130","Rachel B. Moore",15,1741.4,"true"
