,WriMo,Date,WordCount,Average,Min,Max,StDev,Count
1,November 2015,2015-10-06,0,0,0,0,0,0
2,November 2015,2015-10-07,0,0,0,0,0,0
3,November 2015,2015-10-16,0,0,0,0,0,0
4,November 2015,2015-10-30,0,0,0,0,0,0
5,November 2015,2015-10-31,516,103.2,0,468,183.344920845929,516
6,November 2015,2015-11-01,2363695678,23073.2716,-630,2147483647,6709439.80449955,2363695162
7,November 2015,2015-11-02,4673642352,23213.2115,-210000,2147483647,6807600.13100798,2309946674
8,November 2015,2015-11-03,2671927136,-21811.8295,-2147483648,170780,7088800.37926402,-2001715216
9,November 2015,2015-11-04,2807026745,1585.7506,-66241,5E+05,2878.49437599747,135099609
10,November 2015,2015-11-05,2931174849,1567.7047,-47374,197000,2523.66407076537,124148104
11,November 2015,2015-11-06,3039743800,1516.1356,-97085,102377,2240.11883805839,108568951
12,November 2015,2015-11-07,3165577566,1832.0948,-102074,550000,3340.70157608703,125833766
13,November 2015,2015-11-08,3290345687,1835.6081,-125903,112320,2532.10470147049,124768121
14,November 2015,2015-11-09,3405061481,1720.9606,-63938,499278,3332.27784984348,114715794
15,November 2015,2015-11-10,3511050325,1676.2695,-498730,146155,3224.31630515705,105988844
16,November 2015,2015-11-11,3618799412,1776.8942,-231711,840109,4457.82482627089,107749087
17,November 2015,2015-11-12,3715262943,1683.1885,-79654,6E+05,4045.59367437069,96463531
18,November 2015,2015-11-13,3799909532,1618.9769,-64040,229000,2627.09008655466,84646589
19,November 2015,2015-11-14,3895496909,1888.1457,-390529,180995,3269.16458257022,95587377
20,November 2015,2015-11-15,4004160066,2099.7306,-45500,458000,3726.18467421067,108663157
21,November 2015,2015-11-16,4099031813,1850.9393,-66640,498286,3679.67027590295,94871747
22,November 2015,2015-11-17,4190747955,1860.7832,-177305,517000,4867.56684357225,91716142
23,November 2015,2015-11-18,4281208854,1896.9321,-500200,948675,6551.84498055355,90460899
24,November 2015,2015-11-19,4363722041,1825.9978,-451227,164749,3891.33814225546,82513187
25,November 2015,2015-11-20,4449364297,2006.0493,-98736,690011,6263.62221201878,85642256
26,November 2015,2015-11-21,4547812014,2397.7135,-79986,1E+06,9116.26300761935,98447717
27,November 2015,2015-11-22,4647751233,2417.6114,-638157,262587,5724.89795579625,99939219
28,November 2015,2015-11-23,4741664284,2305.4634,-208937,990000,7316.44822777572,93913051
29,November 2015,2015-11-24,4829770626,2274.299,-448917,1E+06,8305.32333541979,88106342
30,November 2015,2015-11-25,4912975979,2313.2518,-449827,444449,6355.75690441048,83205353
31,November 2015,2015-11-26,4987698432,2294.4928,-258380,433981,5971.62306647195,74722453
32,November 2015,2015-11-27,5076230784,2725.6658,-448823,763601,7781.58201012939,88532352
33,November 2015,2015-11-28,5182057809,3337.9708,-380144,888000,9365.47494742859,105827025
34,November 2015,2015-11-29,5317357825,4329.7391,-80104,608847,10475.9222524726,135300016
35,November 2015,2015-11-30,5540666408,7234.0725,-440004,1E+06,18986.6716387184,223308583
