"","Writer","WCSubmissions","WCAvg","Winner"
"1","@Erin_Havel",0,NA,"false"
"2","abookishbabe",0,NA,"false"
"3","alexabexis",8,3600,"true"
"4","Alexandris",0,NA,"false"
"5","Allioup",3,2834.66666666667,"false"
"6","allireapandsow",14,1698.92857142857,"true"
"7","AllYellowFlowers",9,633.333333333333,"false"
"8","amberkell",5,3052.8,"false"
"9","ambrella",0,NA,"false"
"10","amelia.marshall",0,NA,"false"
"11","AngerAndAgony",2,1,"false"
"12","animalrza",0,NA,"false"
"13","Aralonia",0,NA,"false"
"14","Ashley Daniele",0,NA,"false"
"15","astridsdream",2,519,"false"
"16","authorperson",0,NA,"false"
"17","bexdragon",10,2156.5,"true"
"18","Blushingwriter",15,973.933333333333,"true"
"19","Boupie",0,NA,"false"
"20","Bustella",0,NA,"false"
"21","Cafenuit",12,1762.08333333333,"true"
"22","CairennRhys",0,NA,"false"
"23","Caisidorhpa",0,NA,"false"
"24","CAPav",15,1808.93333333333,"true"
"25","Carmelon",1,1612,"false"
"26","carozy",0,NA,"false"
"27","chrisk0",15,2124.86666666667,"true"
"28","ComeOnAndWriteThisNovel",0,NA,"false"
"29","cretsi",7,3713.57142857143,"true"
"30","Crodentia",5,5000,"true"
"31","Darkotter's Kosher Bacon",15,3177.53333333333,"true"
"32","DarylDarko",5,1931.2,"false"
"33","dazart",0,NA,"false"
"34","Derek Wallace",0,NA,"false"
"35","dgiuliani",15,1670.13333333333,"true"
"36","DinosaurDooDoo",0,NA,"false"
"37","dkdailey",5,1311.6,"true"
"38","dlindle",3,949.666666666667,"false"
"39","ebonstorm",5,2094.4,"true"
"40","ElizaWyatt",1,516,"false"
"41","EllenMulholland",15,1573.8,"true"
"42","escabatum_rip3",12,2924.91666666667,"true"
"43","ethibeaux",0,NA,"false"
"44","FaerieRogue",1,2224,"true"
"45","fallingleaf",3,2136.66666666667,"false"
"46","FeliciaFredlund",1,480,"false"
"47","fiegellan",0,NA,"false"
"48","fireun",2,9480.5,"false"
"49","Frozen_in_Tyme",0,NA,"false"
"50","fyca",7,5146.57142857143,"true"
"51","G.M. Luna",5,2180,"false"
"52","gakernes",0,NA,"false"
"53","Grant Faulkner",14,2452.71428571429,"true"
"54","greenphoenixrain",14,1928.85714285714,"true"
"55","grenouille",15,1760.6,"true"
"56","hbt003",1,1664,"false"
"57","honeywell",4,8280.75,"true"
"58","hsparks",14,2605,"true"
"59","Hype",15,1692.93333333333,"true"
"60","ilonaho",7,3095,"true"
"61","imtrisprior",0,NA,"false"
"62","irlangel",11,2241.72727272727,"true"
"63","Ixy-Pixy",2,2921,"true"
"64","J_Hill",0,NA,"false"
"65","Jamesalicious",0,NA,"false"
"66","JaxFost",9,1203.66666666667,"false"
