"","WriMo","Date","Min","Max","WCAverage","StDev","Participants","Donations","Donors","Region","DonationParticipantRatio","DonorParticipantRatio"
"1","November 2015","2015-11-01",0,45013,1856.619,2758.98624617376,1091,190,8,"USA :: California :: San Francisco",0.174152153987168,0.0073327222731439
"2","November 2015","2015-11-02",-10000,29323,1385.3757,1946.34659691674,1091,260,6,"USA :: California :: San Francisco",0.238313473877177,0.00549954170485793
"3","November 2015","2015-11-03",-3988,41759,1418.0213,2191.13108526536,1091,65,5,"USA :: California :: San Francisco",0.0595783684692942,0.00458295142071494
"4","November 2015","2015-11-04",-1800,27999,1532.546,2200.50290522167,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
"5","November 2015","2015-11-05",-3604,14694,1468.0506,1550.38889365866,1091,1025,2,"USA :: California :: San Francisco",0.939505041246563,0.00183318056828598
"6","November 2015","2015-11-06",-8397,23052,1292.8707,1712.60525412613,1091,25,1,"USA :: California :: San Francisco",0.0229147571035747,0.000916590284142988
"7","November 2015","2015-11-07",-1143,37722,1715.5417,2422.87590464422,1091,490,20,"USA :: California :: San Francisco",0.449129239230064,0.0183318056828598
"8","November 2015","2015-11-08",0,19430,1755.5288,1874.51888220597,1091,180,9,"USA :: California :: San Francisco",0.164986251145738,0.00824931255728689
"9","November 2015","2015-11-09",0,52206,1625.3584,2975.27491102839,1091,125,4,"USA :: California :: San Francisco",0.114573785517874,0.00366636113657195
"10","November 2015","2015-11-10",-16011,24381,1513.6732,2257.66757500414,1091,100,1,"USA :: California :: San Francisco",0.0916590284142988,0.000916590284142988
"11","November 2015","2015-11-11",0,22484,1705.9941,2084.84927191672,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
"12","November 2015","2015-11-12",-25616,33333,1482.0729,3162.22205753851,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
"13","November 2015","2015-11-13",0,27834,1663.191,2430.57972086945,1091,25,1,"USA :: California :: San Francisco",0.0229147571035747,0.000916590284142988
"14","November 2015","2015-11-14",0,6959,1618.5481,1272.95670240597,1091,35,2,"USA :: California :: San Francisco",0.0320806599450046,0.00183318056828598
"15","November 2015","2015-11-15",0,19202,2148.5298,2331.67825557526,1091,100,1,"USA :: California :: San Francisco",0.0916590284142988,0.000916590284142988
"16","November 2015","2015-11-16",0,39599,1953.593,3116.60338210595,1091,10,1,"USA :: California :: San Francisco",0.00916590284142988,0.000916590284142988
"17","November 2015","2015-11-17",-34331,10487,1384.1707,2529.23622950657,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
"18","November 2015","2015-11-18",0,36419,1640.6504,2408.93018441841,1091,10,1,"USA :: California :: San Francisco",0.00916590284142988,0.000916590284142988
"19","November 2015","2015-11-19",-14732,13964,1833.25,2224.71533335933,1091,275,2,"USA :: California :: San Francisco",0.252062328139322,0.00183318056828598
"20","November 2015","2015-11-20",0,53365,1987.302,4290.69938052964,1091,30.94,2,"USA :: California :: San Francisco",0.0283593033913841,0.00183318056828598
"21","November 2015","2015-11-21",0,36380,2437.7689,4227.67007186136,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
"22","November 2015","2015-11-22",0,13152,1890.0958,1736.60889234814,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
"23","November 2015","2015-11-23",0,27409,2323.9076,3552.41964643771,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
"24","November 2015","2015-11-24",0,53744,2255.3761,4276.09333578112,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
"25","November 2015","2015-11-25",-3710,41665,2199.4138,3298.90745852445,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
"26","November 2015","2015-11-26",-24,12259,1987.41,1967.70352744005,1091,NA,NA,"USA :: California :: San Francisco",NA,NA
