"","WriMo","Date","Region","Participants","WordCount","Donations","Donors","WordCountAverage","DonationParticipantRatio","DonorParticipantRatio","DonationWordCountRatio"
"1","November 2015",2015-11-15,"USA :: California :: San Francisco",1065,9282921,5820,101,8716.35774647887,5.46478873239437,0.0948356807511737,1.08801960072697e-05
"2","November 2015",2015-11-15,"USA :: California :: Los Angeles",2461,22266028,5935,204,9047.55302722471,2.41162129215766,0.0828931328728159,9.16193943526883e-06
"3","November 2015",2015-11-15,"USA :: Massachusetts :: Boston",1431,14231520,2905,115,9945.1572327044,2.03004891684137,0.0803633822501747,8.08065477194284e-06
"4","November 2015",2015-11-15,"USA :: New York :: New York City",2530,22390433,6215,207,8849.97351778656,2.45652173913043,0.0818181818181818,9.24501996008742e-06
"5","November 2015",2015-11-15,"USA :: Illinois :: Chicago",2122,20681226,4355,174,9746.10084825636,2.05230914231857,0.0819981149858624,8.4134277145852e-06
"6","November 2015",2015-11-15,"USA :: Texas :: Austin",1272,11941619,3445,120,9388.06525157233,2.70833333333333,0.0943396226415094,1.00488886808397e-05
"7","November 2015",2015-11-15,"USA :: South Carolina :: Charleston",213,2072790,420,23,9731.40845070423,1.97183098591549,0.107981220657277,1.10961554233666e-05
"8","November 2015",2015-11-15,"USA :: Washington :: Bellingham",247,2812744,505,28,11387.6275303644,2.04453441295547,0.11336032388664,9.95469193072672e-06
"9","November 2015",2015-11-15,"USA :: North Carolina :: Asheville",335,3314012,830,25,9892.57313432836,2.47761194029851,0.0746268656716418,7.54372645602973e-06
"10","November 2015",2015-11-15,"USA :: District of Columbia",807,7500392,3680,84,9294.16604708798,4.56009913258984,0.104089219330855,1.11994146439279e-05
"11","November 2015",2015-11-15,"USA :: Minnesota :: Twin Cities",1759,19411138,4790,177,11035.3257532689,2.72313814667425,0.10062535531552,9.11847620680457e-06
"12","November 2015",2015-11-15,"USA :: Washington :: Seattle",2378,25123171,10845,283,10564.8322119428,4.5605550883095,0.119007569386039,1.12645016029227e-05
"13","November 2015",2015-11-15,"USA :: Louisiana :: New Orleans",310,2664834,420,24,8596.23870967742,1.35483870967742,0.0774193548387097,9.00618950373644e-06
"14","November 2015",2015-11-15,"USA :: Florida :: Miami",323,2899755,480,15,8977.56965944272,1.48606811145511,0.0464396284829721,5.17285080980979e-06
"15","November 2015",2015-11-15,"USA :: Michigan :: Ann Arbor",501,4775805,1465,41,9532.54491017964,2.92415169660679,0.0818363273453094,8.58494013051203e-06
"16","November 2015",2015-11-15,"USA :: Georgia :: Savannah",196,1642590,245,11,8380.5612244898,1.25,0.0561224489795918,6.69674112225205e-06
"17","November 2015",2015-11-15,"USA :: Pennsylvania :: Pittsburgh",950,9391225,1685,64,9885.5,1.77368421052632,0.0673684210526316,6.81487239417648e-06
"18","November 2015",2015-11-15,"USA :: Oregon :: Portland",1574,16278103,3305,136,10341.8697585769,2.0997458703939,0.0864040660736976,8.35478188091082e-06
"19","November 2015",2015-11-15,"USA :: Iowa :: Iowa City",212,2105446,550,26,9931.34905660377,2.59433962264151,0.122641509433962,1.2348927495647e-05
"20","November 2015",2015-11-15,"USA :: Massachusetts :: Elsewhere",140,1493890,200,12,10670.6428571429,1.42857142857143,0.0857142857142857,8.03271994591302e-06
"21","November 2015",2015-11-15,"Europe :: Scotland :: Edinburgh",336,3785091,430,22,11265.1517857143,1.2797619047619,0.0654761904761905,5.81227769689025e-06
"22","November 2015",2015-11-15,"Europe :: Ireland :: Dublin",356,3145476,395,20,8835.60674157303,1.10955056179775,0.0561797752808989,6.35833813387862e-06
"23","November 2015",2015-11-15,"Europe :: England :: London",2482,24855086,3290,159,10014.1361804996,1.32554391619662,0.0640612409347301,6.39708106421358e-06
"24","November 2015",2015-11-15,"Europe :: France :: Paris",736,9386673,705,28,12753.6317934783,0.957880434782609,0.0380434782608696,2.98295253280902e-06
"25","November 2015",2015-11-15,"Australia :: Melbourne",1243,13338204,2570,99,10730.6548672566,2.06757843925986,0.079646017699115,7.42228863796055e-06
"26","November 2015",2015-11-15,"Central & South America :: Chile",113,849211,55,3,7515.14159292035,0.486725663716814,0.0265486725663717,3.53269093311321e-06
"27","November 2015",2015-11-15,"USA :: Missouri :: St. Louis",973,9271742,4480,87,9529.02569373073,4.60431654676259,0.0894141829393628,9.3833499681074e-06
"28","November 2015",2015-11-15,"Africa :: Egypt",177,1378310,25,1,7787.06214689266,0.141242937853107,0.00564971751412429,7.25526187867751e-07
"29","November 2015",2015-11-15,"Asia :: China",204,2078604,190,7,10189.2352941176,0.931372549019608,0.0343137254901961,3.36764482316016e-06
"30","November 2015",2015-11-15,"Asia :: Japan",447,5682098,1512,31,12711.6286353468,3.38255033557047,0.0693512304250559,5.45573131614414e-06
"31","November 2015",2015-11-15,"Asia :: India",784,6271458,230,12,7999.30867346939,0.293367346938776,0.0153061224489796,1.91343065679464e-06
"32","November 2015",2015-11-15,"Russia :: Moscow",97,980940,35,2,10112.7835051546,0.360824742268041,0.0206185567010309,2.03886068464942e-06
"33","November 2015",2015-11-15,"Asia :: Philippines",579,4623108,240,8,7984.64248704663,0.414507772020725,0.0138169257340242,1.73043761902166e-06
"34","November 2015",2015-11-15,"Asia :: South Korea :: Seoul",161,1881443,710,16,11685.9813664596,4.40993788819876,0.0993788819875776,8.50411094037927e-06
"35","November 2015",2015-11-15,"Canada :: Ontario :: Ottawa",670,8083874,1000,45,12065.4835820896,1.49253731343284,0.0671641791044776,5.5666379758022e-06
"36","November 2015",2015-11-15,"Canada :: Quebec :: Montreal",508,5282165,670,34,10397.9625984252,1.31889763779528,0.0669291338582677,6.43675462618074e-06
"37","November 2015",2015-11-15,"Canada :: Ontario :: Toronto",1672,16722215,2850,116,10001.3247607656,1.70454545454545,0.069377990430622,6.93688007240668e-06
"38","November 2015",2015-11-15,"Central & South America :: Brazil",1070,11024416,215,14,10303.1925233645,0.200934579439252,0.0130841121495327,1.26990853755882e-06
"39","November 2015",2015-11-15,"USA :: Utah :: Salt Lake County",1042,11114958,1635,67,10666.9462571977,1.56909788867562,0.064299424184261,6.02791301595562e-06
"40","November 2015",2015-11-15,"USA :: California :: Elsewhere",311,3059699,860,41,9838.26045016077,2.76527331189711,0.131832797427653,1.34000109161065e-05
"41","November 2015",2015-11-15,"USA :: California :: Lompoc",20,128033,40,2,6401.65,2,0.1,1.56209727179711e-05
"42","November 2015",2015-11-15,"Europe :: France :: Elsewhere",1439,17262134,895,44,11995.9235580264,0.621959694232106,0.0305767894371091,2.54893166742884e-06
"43","November 2015",2015-11-15,"Europe :: Switzerland",293,4001036,745,29,13655.4129692833,2.54266211604096,0.0989761092150171,7.24812273621132e-06
"44","November 2015",2015-11-15,"USA :: Virginia :: Northern",1251,12893222,4400,147,10306.3325339728,3.5171862509992,0.117505995203837,1.14013394014312e-05
"45","November 2015",2015-11-15,"USA :: New York :: Plattsburgh",49,300402,10,1,6130.65306122449,0.204081632653061,0.0204081632653061,3.32887264399039e-06
"46","November 2015",2015-11-15,"USA :: Florida :: Jacksonville",349,3078812,480,23,8821.81088825215,1.37535816618911,0.0659025787965616,7.47041391289887e-06
"47","November 2015",2015-11-15,"USA :: Louisiana :: Elsewhere",119,1112137,580,10,9345.68907563025,4.87394957983193,0.0840336134453782,8.99169796526867e-06
"48","November 2015",2015-11-15,"USA :: Illinois :: Naperville",487,5506172,1720,62,11306.3080082136,3.53182751540041,0.127310061601643,1.12600914028839e-05
"49","November 2015",2015-11-15,"Australia :: Sydney",1063,11344174,1205,67,10671.8476011289,1.13358419567262,0.0630291627469426,5.9061153328572e-06
"50","November 2015",2015-11-15,"USA :: Texas :: Amarillo",84,762778,105,5,9080.69047619048,1.25,0.0595238095238095,6.55498716533513e-06
"51","November 2015",2015-11-20,"USA :: California :: San Francisco",1068,11593009,6135.94,106,10854.877340824,5.74526217228464,0.099250936329588,9.14344153446271e-06
"52","November 2015",2015-11-20,"USA :: California :: Los Angeles",2487,27856219,6076.12,210,11200.7314032971,2.44315239244069,0.0844390832328106,7.53871155306469e-06
"53","November 2015",2015-11-20,"USA :: Massachusetts :: Boston",1437,17332198,2975,117,12061.3764787752,2.07028531663187,0.081419624217119,6.75044215396108e-06
"54","November 2015",2015-11-20,"USA :: New York :: New York City",2548,27565849,7018.49,212,10818.6220565149,2.75450941915228,0.0832025117739403,7.69067551665106e-06
"55","November 2015",2015-11-20,"USA :: Illinois :: Chicago",2142,25833237,4375,176,12060.3347338936,2.04248366013072,0.0821661998132586,6.81292863143709e-06
"56","November 2015",2015-11-20,"USA :: Texas :: Austin",1284,14701469,3445,120,11449.742211838,2.68302180685358,0.0934579439252336,8.16244961642949e-06
"57","November 2015",2015-11-20,"USA :: South Carolina :: Charleston",215,2493249,420,23,11596.5069767442,1.95348837209302,0.106976744186047,9.22491094952811e-06
"58","November 2015",2015-11-20,"USA :: Washington :: Bellingham",249,3522810,505,28,14147.8313253012,2.0281124497992,0.112449799196787,7.94820044226058e-06
"59","November 2015",2015-11-20,"USA :: North Carolina :: Asheville",337,4085401,830,25,12122.8516320475,2.46290801186944,0.0741839762611276,6.11935034039498e-06
"60","November 2015",2015-11-20,"USA :: District of Columbia",812,9182119,3715,86,11308.0283251232,4.57512315270936,0.105911330049261,9.36602978027185e-06
